Time,Flow_count,Handoffq_drops,NAT,Tunnel_count,CPU,%usr,%sys,%idle,Total,Used,Free,Shared,Buffers,Cached,kbps_in,kbps_out
5:24:52 AM,131319,4192701,,5,,,,,32163,1653,30510,2452,0,495,,
5:24:55 AM,131325,4194533,,5, all,42.72,25.35,25.21,32163,2002,30160,2452,0,497,7363.92,325.45
5:24:56 AM,131325,4195456,,5, all,50.85,25,18.5,32163,2123,30039,2452,0,488,6686.08,32.86
5:24:57 AM,131331,4196084,9531,5, all,53.21,27.5,12.31,32163,2305,29858,2452,0,488,6574.01,233.81
5:24:58 AM,131331,4196275,7997,5, all,55.97,28.65,7.16,32163,2214,29949,2452,0,489,7092.72,2789.93
5:25:00 AM,131333,4196275,14345,5, all,46.97,27.59,16.69,32163,2079,30083,2452,0,490,7921.04,4763.16
5:25:02 AM,131334,4196275,0,5, all,51.47,28,12,32163,2090,30072,2452,0,490,6883.11,4085.88
5:25:04 AM,131335,4196275,23666,5, all,53.31,25,13.76,32163,1972,30190,2452,0,491,7132.23,4321.9
5:25:06 AM,131337,4196275,15044,5, all,49.39,27.06,16.64,32163,2112,30050,2452,0,492,7255.24,4410.71
5:25:08 AM,131310,4196275,21974,5, all,51.9,26.54,13.99,32163,2105,30058,2452,0,492,6785.11,3986.67
5:25:10 AM,131312,4196275,26012,5, all,52.39,27.59,12.86,32163,2151,30011,2452,0,493,6912.18,2681.89
5:25:12 AM,131313,4196275,25549,5, all,56.11,27.33,11.7,32163,2123,30040,2452,0,495,6309.01,38.11
5:25:13 AM,131313,4196993,15801,5, all,52.83,27.09,14.15,32163,2163,30000,2452,0,495,6331.63,86.45
5:25:14 AM,131314,4197688,19528,5, all,55.35,26.2,12.97,32163,2199,29964,2452,0,496,5988.88,104.25
5:25:16 AM,131316,4197818,18247,5, all,48.2,31.29,12.65,32163,2196,29967,2452,0,497,6857.26,1900.3
5:25:19 AM,131318,4197818,892,5, all,46.68,27,18.59,32163,2135,30027,2452,0,488,7108.28,4088.65
5:25:22 AM,131322,4197818,6716,5, all,46.91,28.52,16.16,32163,1974,30189,2452,0,489,7376.94,4393.88
